"","Acinetobacter.01","Acinetobacter.02","Actinomyces.01","Actinomyces.02","Alicyclobacillus.01","Anaerococcus.01","Anaerococcus.02","Atopobium.01","Atopobium.02","Bifidobacterium.01","Bulleidia.01","Burkholderia.01","C.Betaproteobacteria.01","C.Betaproteobacteria.02","C.Gammaproteobacteria.01","C.Gammaproteobacteria.02","C.Gammaproteobacteria.03","C.Gammaproteobacteria.04","C.Gammaproteobacteria.05","C.Gammaproteobacteria.06","C.Gammaproteobacteria.07","C.Gammaproteobacteria.08","C.Gammaproteobacteria.09","C.Gammaproteobacteria.10","C.Gammaproteobacteria.11","Campylobacter.01","Capnocytophaga.01","Carnobacterium.01","Catonella.01","Chryseobacterium.01","Corynebacterium.01","Corynebacterium.02","Dolosigranulum.01","Dyella.01","Eubacterium.01","F.Alcaligenaceae.01","F.Burkholderiaceae.01","F.Burkholderiaceae.02","F.Carnobacteriaceae.01","F.Comamonadaceae.01","F.Comamonadaceae.02","F.Enterobacteriaceae.01","F.Erysipelotrichaceae.01","F.Neisseriaceae.01","F.Pasteurellaceae.01","F.Pasteurellaceae.02","F.Prevotellaceae.01","F.Prevotellaceae.02","F.Prevotellaceae.03","F.Pseudomonadaceae.01","F.Pseudomonadaceae.02","F.Rhodocyclaceae.01","F.Xanthomonadaceae.01","Fusobacterium.01","Fusobacterium.02","Gemella.01","Gp2.01","Gp2.02","Lactobacillus.01","Marinobacter.01","Megasphaera.01","Metascardovia.01","Microbacterium.01","Mogibacterium.01","Mycoplasma.01","Neisseria.01","O.Actinomycetales.01","O.Actinomycetales.02","O.Actinomycetales.03","O.Actinomycetales.04","O.Bacteroidales.01","O.Bacteroidales.02","O.Burkholderiales.01","O.Clostridiales.01","O.Clostridiales.02","O.Clostridiales.03","O.Clostridiales.04","O.Clostridiales.05","P.Firmicutes.01","Paracoccus.01","Parvimonas.01","Parvimonas.02","Parvimonas.03","Peptoniphilus.01","Peptoniphilus.02","Peptoniphilus.03","Peptostreptococcus.01","Porphyromonas.01","Porphyromonas.02","Porphyromonas.03","Prevotella.01","Prevotella.02","Prevotella.03","Prevotella.04","Prevotella.05","Prevotella.06","Prevotella.07","Prevotella.08","Prevotella.09","Prevotella.10","Propionibacterium.01","Propionibacterium.02","Pseudomonas.01","Pseudomonas.02","Ralstonia.01","Rhizobium.01","Selenomonas.01","Selenomonas.02","Selenomonas.03","Solobacterium.01","Staphylococcus.01","Streptococcus.01","Sulfuricurvum.01","Tannerella.01","TM7_genus_incertae_sedis.01","TM7_genus_incertae_sedis.02","TM7_genus_incertae_sedis.03","TM7_genus_incertae_sedis.04","TM7_genus_incertae_sedis.05","TM7_genus_incertae_sedis.06","TM7_genus_incertae_sedis.07","TM7_genus_incertae_sedis.08","Treponema.01","Tropheryma.01","Veillonella.01","Veillonella.02"
"Never0",25,41,38,32,31,40,126,126,126,126,126,4,126,37,41,15,24,26,20,37,41,31,36,38,39,42,126,31,126,16,37,126,126,42,126,126,11,14,126,15,41,37,126,126,41,30,28,126,126,3,9,126,28,27,126,40,29,12,17,126,42,39,13,126,126,23,8,33,35,126,35,38,6,126,126,20,126,126,34,42,126,126,126,126,126,126,19,126,126,40,18,126,42,22,126,40,42,126,126,126,2,5,23,26,1,20,42,42,126,38,7,15,126,126,10,21,126,126,126,126,126,126,126,126,39,41
"Never1",29,30,21,12,18,31,31,14,30,31,126,19,27,30,30,31,28,126,27,126,26,30,126,126,126,27,29,30,28,29,26,126,30,29,30,28,126,126,27,20,28,31,126,126,8,15,26,27,30,7,23,30,28,14,30,31,31,29,31,30,30,126,30,28,31,10,20,126,30,126,29,31,29,24,26,28,26,31,126,126,18,30,126,20,31,31,17,26,30,31,2,6,20,25,126,30,31,126,126,126,1,31,27,24,5,126,16,19,29,29,13,3,30,126,4,17,15,9,24,22,31,28,31,126,11,126
"Never2",126,126,17,126,15,17,126,16,16,126,126,8,17,126,126,126,17,126,126,126,126,126,126,126,126,17,126,13,126,126,15,126,15,126,16,17,126,126,12,16,126,126,126,126,7,2,17,16,126,11,17,126,17,12,17,17,126,16,126,126,126,126,17,126,17,3,10,17,17,13,17,126,126,17,126,126,126,17,126,126,16,16,126,12,126,126,126,6,126,126,15,9,126,17,17,16,15,126,126,126,4,17,15,126,5,17,126,126,126,126,11,1,126,126,15,12,13,14,126,126,126,126,126,126,126,15
"Never3",40,39,5,9,38,39,39,7,126,126,40,30,39,126,126,40,40,126,126,126,40,126,40,126,126,38,40,126,40,40,23,126,38,38,17,126,126,126,31,38,39,126,126,126,1,28,14,25,38,26,126,126,39,11,126,37,38,39,39,40,20,126,126,22,126,16,28,40,40,126,40,126,126,40,39,23,31,39,126,126,35,37,126,40,126,126,12,29,24,36,2,3,10,21,28,34,126,27,126,38,18,38,40,38,13,126,19,30,33,15,32,4,126,37,6,34,25,28,40,126,126,40,32,126,8,25
"Never4",36,36,14,25,126,126,25,19,126,126,126,19,11,126,38,35,36,35,35,38,37,38,126,126,126,28,38,36,21,36,28,126,126,36,22,38,33,37,17,38,126,126,126,37,5,20,35,28,35,18,30,126,37,10,126,24,37,37,38,37,30,126,34,29,126,2,15,37,35,126,35,126,32,38,126,34,26,126,37,126,126,35,126,37,126,126,12,8,126,126,7,30,12,16,37,126,26,30,126,126,9,31,35,37,6,37,32,35,31,13,21,1,37,36,27,23,3,37,38,36,33,126,126,126,4,35
"Never5",23,126,22,24,31,126,126,29,126,126,126,20,19,126,33,21,30,21,126,126,27,31,33,126,32,126,33,32,126,32,26,126,126,126,29,32,126,31,15,15,126,23,126,126,17,13,9,126,126,5,14,126,27,13,126,126,30,29,126,28,32,126,30,20,30,3,26,126,33,126,126,126,15,30,22,126,25,126,126,29,18,126,126,26,126,126,24,25,126,33,6,17,31,11,30,126,126,126,126,126,1,126,10,26,4,30,16,27,126,33,12,2,126,126,7,8,22,23,32,126,126,29,126,126,18,31
